#,Time stamp,Source,Target,Type,Position
1,0:53,Paul Kagame,,Named entity,
2,0:58,Soraya Hakuziyaremye,,Named entity,
3,0:58,Rwanda,,Named entity,
4,0:59,"MINICOM 
(Ministry of Trade and Industry)","MINICOM
(Ministero del Commercio e dell’Industria)",Terms,
5,1:02,Giovanie Biha,,Named entity,
6,1:03,"UNECA
(United Nations Economic Commission for Africa)","ECA
(Commissione economica per l'Africa)",Terms,
7,1:31,Felix-Antoine Tshisekedi Tshilombo,,Named entity,
8,1:48,African Union,Unione Africana,Named entity,
9,2:09,Tshisekedi Tshilombo,,Named entity,
10,2:17,Agenda 2063,Agenda 2063,Named entity,
11,2:27,Kwesi Quartey,,Named entity,
12,2:26,"AUC
(African Union Commission)","AUC
(Commissione dell’unione Africana)",Terms,
13,2:35,Victor Harison,,Named entity,
14,2:38,"DEA 
(Department of Economic Affairs)","DEA
(Dipartimento dell’Economia)",Terms,
15,2:47,30,30,Numbers,minuti
16,2:49,90,90,Numbers,minuti
17,2:51,"Q&A
(question and answer)","Q&A
(sessione di domande e risposte)",Terms,
18,3:26,gross domestic product,prodotto interno lordo,Terms,
19,3:28,3.42 trillion,"3,42 bilioni",Numbers,dollari USA
20,4:11,"AfCFTA 
(the African Continental Free Trade Area)","AfCFTA
(Trattato di Libero Commercio Continentale Africano)",Terms,
21,4:29,working-age population,popolazione in età lavorativa,Terms,
22,4:37,2030,2030,Numbers,
23,4:40,2030,2030,Numbers,
24,4:46,295 million,295 milioni,Numbers,nuove persone
25,4:50,15–64,15–64,Numbers,
26,4:55,15–64,15–64,Numbers,
27,4:58,40%,40%,Numbers,
28,4:59,2030,2030,Numbers,
29,5:01,2030,2030,Numbers,
30,5:04,1 billion,1 miliardo,Numbers,persone
31,5:06,15–64,15–64,Numbers,
32,5:30,2019,2019,Numbers,
33,5:34,8.41,"8,41",Numbers,"mbd
(milioni di barili al giorno)"
34,5:35,"mbd
(million barrels per day)","mbd
(milioni di barili al giorno)",Terms,
35,5:36,oil,petrolio,Terms,
36,5:38,Madagascar,,Named entity,
37,5:41,58,58.00.00,Numbers,tonnellate
38,5:43,nickel,nichel,Terms,
39,5:44,2021,2021,Numbers,
40,5:46,Namibia,,Named entity,
41,5:50,2.52 million,"2,52 milioni",Numbers,carati
42,5:51,2018,2018,Numbers,
43,6:09,praseodymium,praseodimio,Terms,
44,6:10,dysprosium,diprosio,Terms,
45,6:11,terbium,terbio,Terms,
46,6:30,market cap,capitalizzazione di mercato,Terms,
47,6:31,AngloGold Ashanti,,Named entity,
48,6:37,12.13 billion,"12,13 miliardi",Numbers,dollari USA
49,6:58,"LNG
(liquefied natural gas)","GNL
(gas naturale liquefatto)",Terms,
50,7:01,150%,150%,Numbers,
51,7:03,28,28,Numbers,"mtpy
(milioni di tonnellate per anno)"
52,7:04,"mtpy
(million tonnes per year)","mtpy
(milioni di tonnellate per anno)",Terms,
53,7:06,2018,2018,Numbers,
54,7:07,84,84,Numbers,"mtpy
(milioni di tonnellate per anno)"
55,7:10,2025,2025,Numbers,
56,7:32,coal-bed methane,metano di origine minerale,Terms,
57,7:52,coal matrix,matrice di carbone,Terms,
58,7:55,hydrocarbon-storage capacity,capacità di deposito degli idrocarburi,Terms,
59,7:57,coal-bed methane,metano di origine minerale,Terms,
60,08:09,"AU
(African Union)","UA
(Unione Africana)",Terms,
