#,Time stamp,Source,Target,Type,Position
1,01:58:16,Tarō Asō,,Named entity,
2,02:03:11,Hiroshige Sekō,,Named entity,
3,02:04:27,"METI (Ministry of Economy, Trade and Industry)","METI (Ministero dell' Economia, del Commercio e dell'Industria)",Terms,
4,02:08:16,Fumio Hayashi,,Named entity,
5,02:11:08,GRIPS (National Graduate Institute for Policy Studies),GRIPS (Istituto superiore nazionale di scienze politiche),Terms,
6,02:28:13,Kanagawa-ken,Prefettura di Kanagawa,Named entity,
7,02:35:10,"
novel coronavirus (COVID-19)",nuovo coronavirus (COVID-19),Terms,
8,02:38:17,MPM (Monetary Policy Meeting),MPM (Conferenza di Politica Monetaria),Terms,
9,03:04:23,GDP (gross domestic product),PIL (prodotto interno lordo),Terms,
10,03:07:22,5.38 trillion,"5,38 billioni",Numbers,dollari USA
11,03:48:27,Hiroshige Sekō,,Named entity,
12,03:55:15,Kuroda Haruhiko,,Named entity,
13,03:57:27,Bank of Japan,Banca del Giappone,Named entity,
14,04:07:22,COVID-19 (novel coronavirus),COVID-19 (nuovo coronavirus),Terms,
15,04:11:09,45,45,Numbers,minuti
16,04:25:19,COVID-19 (novel coronavirus),COVID-19 (nuovo coronavirus),Terms,
17,05:15:16,SFTBF (SoftBank),SFTBF (Softbank),Named entity,
18,05:21:14,159.60 billion ,"159,60 miliardi",Numbers,dollari USA
19,05:31:22,COVID-19 (novel coronavirus),COVID-19 (nuovo coronavirus),Terms,
20,05:50:03,hot-rolled iron ,arrotolati laminati a caldo,Terms,
21,05:54:00,3.51%,"3,51%",Numbers,
22,05:57:15,12.5 million ,"12,5 milioni",Numbers,tonnellate
23,05:58:28,YTD (year to date),YTD (anno a data),Terms,
24,06:00:08,2018,2018,Numbers,
25,06:04:04,16.85 million,"16,85 milioni",Numbers,tonnellate
26,06:05:15,YTD (year to date),YTD (anno a data),Terms,
27,06:07:10,2019,2019,Numbers,
28,06:30:20,spinning extruders ,estrusori rotanti,Terms,
29,06:54:18,microassemblies,microassiemaggi ,Terms,
30,06:57:07,semiconductor lithography equipment,apparecchiature per litografia di semiconduttori ,Terms,
31,06:58:22,wire enamel,smalto per filo,Terms,
32,07:43:03,woody biomass ,biomassa legnosa,Terms,
33,07:46:12,10.2 million,"10,2 milioni",Numbers,BDt (tonnellate a secco)
34,07:46:26,BDt (bone-dry metric tons),BDt (tonnellate a secco),Terms,
35,07:47:29,2020,2020,Numbers,
36,07:50:17,2022,2022,Numbers,
37,07:52:10,biomass plant,impianto di biomassa,Terms,
38,07:53:17,Aichi-ken,Prefettura di Aichi,Named entity,
39,07:56:04,75,75,Numbers,megawatt
40,08:02:08,Kyshu,Kyshu,Named entity,
41,08:07:16,0.71 million,"0,71 milioni",Numbers,tonnellate
42,08:09:05,PKS (palm kernel shells),PKS (guscio di palmisto),Terms,
43,08:10:12,2018,2018,Numbers,
44,08:49:04,65,65,Numbers,anni
45,08:54:02,28.7%,"28,7%",Numbers,
46,08:57:17,2020,2020,Numbers,
47,09:04:04,"300,000",300.000,Numbers,
48,09:05:06,2020,2020,Numbers,
49,09:11:13,36.17 million ,"36,17 milioni",Numbers,persone
50,09:13:15,65,65,Numbers,anni
51,09:16:21,2020,2020,Numbers,
52,09:44:19,Peptide Discovery Platform System,piattaforma di creazione dei peptidi,Terms,
53,09:57:03,macrocyclic peptides,peptidi macrociclici,Terms,
54,10:00:14,binding,legame,Terms,
